100542,TANQUERAY,"14,09"
100543,SEAGRAM S GIN 70 cl,"14,25"
100545,THE LONDON GIN  3/4 CLASICA (AZUL),"27,65"
100546,MONKEY 47 GIN,"35,60"
100547,CITADELLE,"18,99"
100548,GIN NORDES,"22,71"
100549,GIN MOM,"22,40"
100550,GIN BOTANIC,"9,55"
100551,MOSKOVSKAYA 70 cl.,"9,12"
100552,ABSOLUT 70 cl,"12,41"
100553,VODKA ERISTOF BLACK 70CL,"10,37"
100554,LICOR DE CAFE RUAVIEJA 70 cl (26%),"9,43"
100555,HIERBAS RUAVIEJA (30%) 70CL,"7,80"
100558,ORUJO BLANCO RUAVIEJA 70cl (42%),"11,04"
100560,CREMA DE ORUJO RUAVIEJA (17%) 70CL,"11,50"
100562,AGUARDIENTE ORUJO VIZCONDE DE TUI,"9,29"
100566,MANZANETA FR 0.70L SELVA DE OSA,"6,04"
100569,ORUJO BLANCO LITRO SELVA DE OZA (40º),"13,93"
100570,ORUJO BLANCO FR 0.7L SELVA DE OSA (40%),"8,50"
100582,BAINES CLASICO 1L.,"14,02"
100583,ETXEKO 1 LITRO,"9,91"
100585,ZOCO 1 LITRO,"10,05"
100587,PONCHE CABALLERO 70 cl,"9,91"
100590,HAVANA CLUB 3 AÑOS 70 cl,"10,29"
100591,HAVANA CLUB 7 AÑOS 70 cl.,"20,28"
100592,RON NEGUS 1 LITRO,"12,02"
100593,MALIBU 70 cl.,"10,27"
100594,RON BARCELO AÑEJO 70 cl.,"13,12"
100595,BRUGAL AÑEJO,"12,59"
100596,RON CACIQUE 70 cl.,"11,49"
100598,"VERMUT COCHS 1,5 L (1UND)","5,02"
100599,MARTINI BLANCO  LITRO,"7,77"
100600,MARTINI ROJO  LITRO,"8,31"
100602,CAMPARI 1 LITRO,"15,90"
100603,APERITIVO RICARD LITRO,"15,01"
100604,ANTIQUARY 70 cl.,"15,02"
100605,BALLANTINES 70 cl.,"12,61"
100606,CARDHU MALTA 12 AÑOS,"28,06"
100607,CHIVAS REGAL 12 AÑOS 70 cl.,"22,43"
100608,CUTTY SARK 70 cl.,"9,75"
100609,DYC 70 cl.,"9,00"
100610,DYC 8 AÑOS 70 cl.,"11,64"
100611,FOUR ROSES BOURBON 70 cl.,"14,78"
100612,WHISKY J&B 70 cl.,"11,03"
100613,JACK DANIEL S BOURBON 70 cl.,"20,44"
100614,KNOCKANDO MALTA 12 AÑOS 70 cl.,"26,98"
100615,"MACALLAN AMBER 0,70","57,26"
100616,WHISKY EDWARDS/PICUEZO 1L,"7,68"
100617,WHITE LABEL 70 cl.,"11,90"
100618,BALLANTINES 12 AÑOS,"19,27"
100619,WHISKY GLENROTHES MALTA 0.70L,"37,77"
100620,GIN PUERTO DE INDIAS STRAWBERRY,"14,38"
100621,JAGERMEISTER,"11,94"
100622,GINEBRA MARTIN MILLER 40º,"18,98"
100624,PINK BEEFEATER,"13,17"
100625,PEDRO XIMENEZ NECTAR,"7,78"
100627,"VODKA SMIRNOFF 1L. 37,5","9,93"
100629,CARDENAL MENDOZA,"20,79"
100630,WHITE LABEL 50 CL. 12 AÑOS,"13,52"
100631,WHISKY LA PERDIZ 0.70 L.,"11,08"
100632,"GINEBRA LARIOS ROSE 0,70 L.","11,78"
100633,VERMUT CABECITA LOCA 75 CL,"9,35"
100634,SANGRIA CABECITA LOCA 75 CL,"6,49"
100635,WHISKY THUNDER BITCH 70 cl. 30º,"10,56"
100638,FRANGELICO,"10,64"
100640,BAILEYS 1 LITRO,"14,30"
100641,RON NEGRITA 0.70L,"7,95"
100642,WHISKY LA GAVULIN,"47,85"
100643,TIA MARIA,"11,90"
100645,BOURBON JIM BEAM,"13,31"
100646,WHISKY NOMAD,"25,21"
100647,VERMUT LA COPA G.BYASS GRAN RVA.,"15,74"
100648,VERMUT IRIS DORADO 1 L.,"3,99"
100649,CHAMPAGNE DEUTZ ROSE,"57,05"
100650,VERMUT LA COPA 750 ML.,"9,27"
100651,LICOR DE HIERBAS VIZCONDE TUI (30%),"7,92"
100653,JOSE PARIENTE VERDEJO 2022 D.O RUEDA 2023,"8,50"
100658,GINEBRA LARIOS 1 L.,"10,60"
100659,LICOR PLATA O PLOMO,"12,38"
100700,MAZA JAMON BODEGA,"13,17"
100701,PALETA CURADA REDONDA MAIRAL 5 KG APROX,"43,80"
100705,JAMON D.O.TERUEL KG CALAMOCHINO,"11,98"
100706,JAMON LONCHEADO CALAMOCHINO 200GR,"4,88"
100707,TIRITAS DE JAMÓN 1 KG.,"8,34"
100708,LOMO EXTREMADURA 80 GRS 24,"2,55"
100709,TACO JAMON LIMPIO RVA. 600 GR.,"7,93"
100710,JAMON CEBO CAMP ARGAL 7.8 KG 24,"160,83"
100711,JAMON BELLOTA GRAN RVA. JOSELITO,"650,66"
100712,JAMON EXTREMADURA 7.5 KG. 24-022247,"87,50"
100713,PATE IBERICO 3X80 G. ARGAL,"1,64"
100714,"PALETA CEBO CAMPO ""ESTIRPE NEGRA "" 4.9 KG 23","80,11"
100715,"JAMON SERRANO RVA. 7,3 KG. ARGAL 23","66,69"
100716,PACK DESGUSTACION IB ESTIRPE NEGRA,"45,44"
100717,JAMON BTA IB C.MANO 80 G. 24-022296,"8,78"
100719,JAMON BODG. C/PATA 6-7K (x PZA) MAIRAL 24,"68,29"
100720,SALCHICHON IBERICO MITADES (ARGAL) 24-024381,"11,16"
100721,CHORIZO IBERICO MITADES (ARGAL) 24,"8,89"
100800,ANNA DE CODORNIU 24,"7,44"
100801,JUVE & CAMPS RVA FAM,"14,41"
100802,REYES DE ARAGON BRUT NATURE- EL MONJE,"6,47"
100803,VILARNAU BRUT RVA ORGANIC,"8,31"
100804,REYES DE ARAGON BRUT RESERVA- EL CASTO,"5,27"
100807,ROGER DE FLOR SEMI,"3,35"
100808,MOET&CHANDON BRUT IMPERIAL 3/4-23,"38,92"
100809,LOUIS ROEDERER COLLECTION 23,"51,18"
100810,VEUVE CLIQUOT ESTUCHADO 23,"44,18"
100811,CHAMPAGNE BRUT DEUTZ,"42,85"
100812,CHAMPAN MUMM,"29,10"
100813,CAVA LUCRECIA LALANE,"10,23"
100814,HAVANA 5 AÑOS,"11,40"
100815,"GINEBRA MOMBASA 0,7 L.","16,95"
100817,LOUIS ROEDERER CRISTAL ESTUCHADO,"264,00"
100819,VILARNAU BRUT ROSE RVA. ORG.,"9,99"
100821,LOUIS PERDRIER ROSE 0.75CL,"4,29"
100823,COJON DE GATO VERDEJO 2020 D.O RUEDA,"6,81"
100824,COJON DE GATO SYRAH 2022 SOMONTANO,"6,74"
100825,COJON DE GATO GEWURZT. 2022 SOMONTANO,"8,20"
100827,GINEBRA MG 0.70L- 40 GD,"10,65"
100828,GIN HENDRICK'S,"24,07"
100834,REYES DE ARAGON BRUT NAT. GRAN RESERVA,"14,30"
100835,CHIVAS 21 ROYAL SALUTE,"103,40"
100836,TEQUILA SANDIA 70CL,"8,76"
100837,TEQUILA FRESA K.T. RULES 70 CL.,"8,76"
100838,CREMA LICOR 0.70L SELVA OSA,"7,00"
100839,LICOR DE CAFE 0.70L SELVA OSA (30%),"7,44"
100840,LICOR HIERBAS 0.70L SELVA OSA,"7,13"
100841,MANDRAGORA 0.70L SELVA OSA (45%),"9,13"
100842,PACHARAN 0.70L SELVA OSA (25%),"6,94"
100843,PACHARAN KANTXA 1L (20%),"10,36"
100844,CAVA JAUME SERRA B.NAT.,"3,50"
100845,LARIOS 12 AÑOS,"12,98"
100846,DOM PERIGNON,"194,72"
100900,CACAO ASTURIANA BATI2 20 cl. (12)-16540,"7,95"
100901,VAINILLA ASTURIANA 20 cl. (12),"7,95"
100902,"ASTURIANA HOST. 1,5 L (6)-11067","12,00"
100903,"ASTURIANA CREME ENTERA 1,5 L (6)-11068","13,73"
100905,MANTEQUILLA BLOQUE 1 KILO ASTURIANA-13005,"11,36"
100906,"QUESO OVEJA RESERVA ALMIRANTE 1,5 KG.","24,27"
100908,NATA MONTAR LIQUIDA UHT LITRO (6)-12048,"27,14"
100909,BARQUETA AST 10 GR (240UD)-13340,"32,03"
100910,"QUESO CURADO ALMIRANTE 1,5 KG.-14289","16,62"
100912,QUESO UNIDAD MATOCQ 600 GR. (86107),"13,01"
100913,QUESO CUÑA MATOCQ,"5,25"
100914,QUESO ENTERO MATOCQ KG (86001),"17,23"
100916,QUESO CURADO  3 KG. ALMIRANTE,"31,45"
100917,MARGARINA MICRO 10 GR (240 UD.)-13337,"15,76"
100921,DESNATADA LIGERA BRIK 1 L (6)-11673,"6,98"
